Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
1ebe849b-0c7a-3eb2-bb4b-d58021558035,df6473cf-a70b-3401-b1ac-8d213ab31d86,Liberty95 Kihn564,F,GENERAL PRACTICE,230 WEST 17TH STREET,NEW YORK,NY,100115325,42.130417,-76.83194599565286,170,0
a7242b3b-9cf2-31d8-8749-5cde12f081e8,1a889af5-b516-3d84-961c-0b7d679b238c,Jerónimo599 Orozco750,M,GENERAL PRACTICE,16418 NORTHERN BLVD,LONG ISLAND CITY,NY,111015967,40.7622052,-73.8038213,49,0
73793383-e3f5-3c54-b342-3c35f26de4d2,e9cb9031-ed8d-33cb-acbf-bc6c807bb0eb,Trinidad33 O'Reilly797,M,GENERAL PRACTICE,110-30 221ST STREET,QUEENS VILLAGE,NY,114292531,40.7296847,-73.7421371,20,0
8bce5073-74c6-32ab-9c00-8111ef65fdf8,7f2262e8-6fb3-39a1-bba6-53cd730d0771,Sherita708 Hudson301,F,GENERAL PRACTICE,211 CHURCH ST,SARATOGA SPRINGS,NY,128661076,43.086606950000004,-73.79895377271055,69,0
1078507d-7cbf-3a7b-9912-9fd7445a5c72,45590712-1963-39bd-bc0e-6be97de853f0,Melvin857 Haag279,M,GENERAL PRACTICE,40 W 135TH ST APT 1C,NEW YORK,NY,100372504,40.7127281,-74.0060152,59,0
da0271e1-286b-3b18-872a-bbf73d0417d4,49bf35b6-0433-34ce-a259-1a458d6aa94a,Bertram873 Halvorson124,M,GENERAL PRACTICE,32787 US ROUTE 11,PHILADELPHIA,NY,13673,44.154622,-75.708847,31,0
f26edefe-ba5a-3c3e-9b69-c10c10d3e9cd,6f653dc7-63ed-3275-8e60-467baa3df431,Kylie930 Walsh511,F,GENERAL PRACTICE,154 CHRISTOPHER STREET  2ND FLOOR,NEW YORK,NY,100142840,40.732538,-74.008771,72,0
50548331-3e69-3455-bdc8-bd44d6625557,b536eca3-7efe-30f5-84fe-1da56328d66a,Daryl568 Yundt842,M,GENERAL PRACTICE,463 SARATOGA RD,SCOTIA,NY,123025200,42.8264652,-73.9642915,53,0
0a48352b-e49c-32ee-b044-b8c73f188cd4,af0b830c-f3ce-3de5-b746-e9b22599be06,Gilbert263 Orn563,M,GENERAL PRACTICE,385 E 149TH ST,NEW YORK,NY,100336102,40.81633291666667,-73.91830229166666,66,0
85719f0c-3ff6-3ff5-bd38-515579b59a3c,5fee4048-c52d-3152-9afc-948a7ad175e9,Margarita164 Zepeda235,F,GENERAL PRACTICE,59 HETCHELTOWN ROAD,SCOTIA,NY,123025506,42.8264652,-73.9642915,11,0
3eed0c33-9957-305c-9777-10a743e4e5bb,1aae515a-6633-3d84-84a8-561eb786d811,Reinaldo138 Runolfsdottir785,M,GENERAL PRACTICE,179-00 Linden Blvd. & 179 Street,Jamaica,NY,11425,40.6915,-73.8057,606,0
3bda9d01-2cd0-3047-8ea9-183f4d709758,08c152ab-d3c8-35fa-940a-720e257c0f2c,Zachery872 Rau926,M,GENERAL PRACTICE,49 FOREST ROAD,MONROE,NY,109502923,41.3396058,-74.17145826044424,30,0
ed94444d-01a4-3e9c-91da-400aacc07b73,72d279b8-5333-3dfd-824a-d6e54435fb3e,Erick204 Huel628,M,GENERAL PRACTICE,1740 EASTCHESTER RD,BRONX,NY,104612300,40.8466508,-73.8785937,99,0
7626506a-322d-330e-aef4-c8b7a5086212,9fb31fbc-db3a-32bf-8464-1f94f6b4b680,Clelia416 Morissette863,F,GENERAL PRACTICE,10 BENTON AVENUE,WASHINGTONVILLE,NY,109922260,41.4278716,-74.1659798,2,0
7f74f3dd-a112-31f0-a3ba-a9c58ce52537,601aee53-a176-39c9-91ed-cc6cfe522987,Joshua658 Borer986,M,GENERAL PRACTICE,53 GIBSON ROAD,GOSHEN,NY,109246709,41.385516,-74.3533345,47,0
4b06dd66-d4c3-3482-9e46-c9c204cfb093,77142dcc-5fff-3e9b-abb2-3fe3f97c0a45,Fred155 Littel644,M,GENERAL PRACTICE,314 W 14TH ST,NEW YORK,NY,100145002,40.739871199999996,-74.0035169210872,97,0
5ecf54dd-06bc-3277-b26a-efa10e12e570,6e837e35-27b2-36cd-942f-fdc14be9589d,Alonso270 Hand679,M,GENERAL PRACTICE,1101 NOTT ST,SCHENECTADY,NY,123082425,42.820213249999995,-73.91646093090648,126,0
65e4b540-b140-3689-a0f0-36b84640d03c,7378c837-2c46-3a0b-aa0f-d92d1031ef35,Ricky354 Little434,M,GENERAL PRACTICE,234 EAST 149TH STREET,BRONX,NY,104515504,40.81703305,-73.92437016189787,67,0
afd26ee4-6693-3069-b3d1-e19c90e59c5c,93ef44de-01f9-3805-a0b9-96f1cfa60029,Yuko264 Mueller846,F,GENERAL PRACTICE,374 STOCKHOLM STREET,BROOKLYN,NY,112374512,40.704144150000005,-73.91770759237289,751,0
3729ebc3-4ec6-3c1a-8d93-0339c97dbc4a,e102a2aa-5a26-3f27-9752-6bba82d4ae61,Cecilia788 Miranda712,F,GENERAL PRACTICE,538 EAST FORDHAM ROAD,BRONX,NY,104585015,40.859249000000005,-73.88706719999999,3,0
